course_id,branch,track,course_title,difficulty_level,provider,format,description,skills_taught,tools_covered,prerequisite_course_title,estimated_hours,rating,num_reviews,career_paths,industry_sectors
BME-0145,Biomedical Engineering,Genomics and Proteomics Basics,Applied Genomics and Proteomics Basics,Intermediate,Pluralsight,Instructor-led Live,"Building on foundational knowledge, this course goes deeper into Genomics and Proteomics Basics, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Genomics and Proteomics Basics concepts to realistic scenarios.",matlab; medical device design; regulatory compliance; biomechanics analysis,python; ansys; solidworks,Introduction to Genomics and Proteomics Basics,39,3.8,683,rehabilitation engineer; regulatory affairs specialist; clinical engineer,medical devices; healthcare
IPE-0074,Industrial and Production Engineering,Six Sigma,Applied Six Sigma,Intermediate,NPTEL,Video Course,"Building on foundational knowledge, this course goes deeper into Six Sigma, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Six Sigma concepts to realistic scenarios.",supply chain analysis; erp systems; simulation modeling; operations research,minitab; sap; ms project,Introduction to Six Sigma,20,4.0,1952,industrial engineer; quality engineer; process improvement engineer,automotive; manufacturing
CSE-0152,Computer Science Engineering,VLSI Design,Introduction to VLSI Design,Beginner,Udacity,Video Course,"This foundational course introduces the core concepts of VLSI Design within Computer Science Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in VLSI Design is required, though general familiarity with Computer Science Engineering fundamentals is helpful.",c++; system design; linux; git,jenkins; mongodb; gcp,None,13,4.2,2334,ml engineer; backend developer; data scientist,finance; telecommunications
ECE-0030,Electronics & Communication Engineering,Signal Processing,Signal Processing Capstone Project,Capstone,FutureLearn,Instructor-led Live,"A project-based capstone course where learners apply everything covered across the Signal Processing track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",signal processing; vhdl; circuit design; pcb design,raspberry pi; cadence; keil,Advanced Signal Processing,17,3.8,2841,embedded systems engineer; vlsi design engineer; communication systems engineer,automotive; defense
CHE-0078,Chemical Engineering,Petrochemical Engineering,Advanced Petrochemical Engineering,Advanced,edX,Video Course,"This advanced course covers complex, industry-relevant topics in Petrochemical Engineering, including optimization techniques, edge cases, and current best practices used in Chemical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",reactor design; mass balance; process simulation; heat balance,aspen plus; hysys; comsol,Applied Petrochemical Engineering,45,4.7,4418,chemical process consultant; refinery engineer; process engineer,manufacturing; petrochemical
CSE-0148,Computer Science Engineering,Mobile App Development,Advanced Mobile App Development,Advanced,NPTEL,Self-paced Reading,"This advanced course covers complex, industry-relevant topics in Mobile App Development, including optimization techniques, edge cases, and current best practices used in Computer Science Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",rest api; java; system design; python,github; tensorflow; vscode,Applied Mobile App Development,41,5.0,3213,security analyst; cloud engineer; backend developer,finance; e-commerce
CIV-0075,Civil Engineering,Hydraulics and Hydrology,Applied Hydraulics and Hydrology,Intermediate,LinkedIn Learning,Blended (Video + Project),"Building on foundational knowledge, this course goes deeper into Hydraulics and Hydrology, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Hydraulics and Hydrology concepts to realistic scenarios.",staad pro; surveying; concrete design; structural analysis,sap2000; etabs; ms project,Introduction to Hydraulics and Hydrology,25,4.3,1181,geotechnical engineer; structural engineer; urban planner,infrastructure; government
BME-0080,Biomedical Engineering,Bioinformatics for Engineers,Bioinformatics for Engineers Capstone Project,Capstone,LinkedIn Learning,Self-paced Reading,"A project-based capstone course where learners apply everything covered across the Bioinformatics for Engineers track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",biomechanics analysis; medical device design; matlab; biomedical signal processing,ansys; python; matlab,Advanced Bioinformatics for Engineers,20,3.7,983,biomedical engineer; rehabilitation engineer; clinical engineer,medical devices; research institutes
CSE-0132,Computer Science Engineering,Blockchain Development,Introduction to Blockchain Development,Beginner,Udacity,Instructor-led Live,"This foundational course introduces the core concepts of Blockchain Development within Computer Science Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Blockchain Development is required, though general familiarity with Computer Science Engineering fundamentals is helpful.",linux; kubernetes; python; algorithms,aws; postgresql; mongodb,None,12,4.3,5987,cloud engineer; ml engineer; software engineer,telecommunications; e-commerce
CIV-0152,Civil Engineering,Bridge Engineering,Introduction to Bridge Engineering,Beginner,Pluralsight,Instructor-led Live,"This foundational course introduces the core concepts of Bridge Engineering within Civil Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Bridge Engineering is required, though general familiarity with Civil Engineering fundamentals is helpful.",surveying; staad pro; soil testing; structural analysis,autocad; revit; etabs,None,20,4.2,2352,transportation engineer; urban planner; site engineer,construction; infrastructure
